continent,country,code,longitude,latitude,total 2018,total 2017
North America,Dominica,DMA,15.43644049,-61.35691759,4,4
Europe,Holy See Vatican City State,VAT,41.90335536,12.45345184,4,4
Africa,Liberia,LBR,6.452232555,-9.319863993,4,4
Africa,Madagascar,MDG,-19.37316753,46.70599831,4,4
Africa,Rwanda,RWA,-1.991117947,29.95179206,4,4
North America,Saint Barthelemy,BLM,17.90558452,-62.83261962,4,4
Africa,Benin,BEN,9.64121677,2.328740746,3,3
South America,"Bonaire, Saint Eustatius and Saba",#N/A,12178,-68.2385,3,3
Africa,Cape Verde,CPV,15.93614024,-23.96723977,3,3
Africa,Gabon,GAB,-0.5916559169,11.78956926,3,3
Africa,Gambia,GMB,13.44972956,-15.39758203,3,3
Africa,Ivory Coast,CIV,7.627966522,-5.569000178,3,3
Oceania,Kiribati,KIR,0.6152008738,-51.52483396,3,3
Africa,Mauritania,MRT,20.25691335,-10.343013,3,3
Oceania,Norfolk Island,NFK,-29.0349751,167.9551693,3,3
North America,Saint Vincent and the Grenadines,VCT,13.21621592,-61.20335327,3,3
Oceania,Solomon Islands,SLB,-8.909583205,159.6380945,3,3
Africa,Somalia,SOM,4.74883682,45.70614439,3,3
Asia,Tajikistan,TJK,38.5269889,71.01282833,3,3
Asia,Uzbekistan,UZB,41.70410592,63.21709475,3,3
Asia,Bhutan,BTN,27.42248024,90.40391185,2,2
Africa,Burkina Faso,BFA,12.26955391,-1.755527664,2,2
Seven-seas-open-ocean,Cocos-Keeling-Islands,CIS,-11.995039,96.83185,2,2
Africa,Djibouti,DJI,11.75363947,42.57107031,2,2
North America,Haiti,HTI,18.94006815,-72.69394632,2,2
Africa,Lesotho,LSO,-29.57973044,28.22862293,2,2
Middle East,Palestinian Territory,PSE,31.91889613,35.19368314,2,2
Seven-seas-open-ocean,Saint Helena,SHN,-24.91135024,-10.13841784,2,2
Oceania,Samoa,WSM,-13.75459565,-172.1612493,2,2
North America,Sint Maarten,SXM,18.04062935,-63.07013103,2,2
Africa,Sudan,SDN,15.98331641,29.94176703,2,2
Oceania,Tonga,TON,-20.06655974,-174.8685123,2,2
Africa,Burundi,BDI,-3.307136012,29.91714635,1,1
Africa,Comoros,COM,-11.88421621,43.68016319,1,1
Africa,Congo,COG,-0.8388799891,15.21833616,1,1
North America,Cuba,CUB,21.62529805,-79.03521174,1,1
Africa,Eritrea,ERI,15.35633327,38.85244952,1,1
Africa,Mali,MLI,17.3430679,-3.539461429,1,1
Oceania,"Micronesia, Federated States of",FSM,6.967281079,155.2606335,1,1
North America,Montserrat,MSR,16.73752357,-62.18739878,1,1
Oceania,Nauru,NRU,-0.5207828848,166.9331319,1,1
Africa,Niger,NER,17.41882794,9.386547717,1,1
Oceania,Niue,NIU,-19.04891976,-169.869346,1,1
Oceania,Palau,PLW,7.17335428,134.3380221,1,1
Oceania,Pitcairn,PCN,-24.41276998,-128.4792671,1,1
North America,Saint Martin French part,MAF,18.0776203,-63.05507149,1,1
Africa,Sierra Leone,SLE,8.563085843,-11.79501558,1,1
Africa,South Sudan,SSD,7.283530708,30.30111961,1,1
South America,Suriname,SUR,4.131244982,-55.91107136,1,1
Middle East,Syrian Arab Republic,SYR,35.01794641,38.50091047,1,1
Africa,Togo,TGO,8.526788089,0.9622716266,1,1
Oceania,Tuvalu,TUV,-7.759069096,178.5203532,1,1
Middle East,Yemen,YEM,15.90035287,47.58787727,1,1
